suitability_summary_id,suitability_report_id,portfolio_id,allocation_model_id,has_drifted,description,rebalanced
37393,458,AM-4202GPD006,Balanced / FF 4 GBP,False,,False
37394,458,AM-4202GPD007,Growth / FF 5 GBP,True,", non strategy volatility drift, non strategy assets drift",False
37395,458,TAE06002,ESG Cautious GBP,False,,False
37396,458,TAE06003,ESG Balanced GBP,False,,False
37397,458,TAE06004i,ESG Growth GBP,False,,False
37398,458,TAE06005,ESG Growth GBP,False,,False
37399,458,TAE06006,ESG Cautious GBP,False,,False
37400,458,TAE06008,Balanced / FF 4 GBP,False,,False
37401,458,TAE06009,ESG Cautious GBP,True,", tracking error drift",False
37402,458,TAE06010,ESG Cautious GBP,False,,False
37403,458,TAE06011i,ESG Adventurous GBP,False,,False
37404,458,TAE06013,ESG Balanced GBP,False,,False
37405,458,TAE06015i,ESG Cautious GBP,False,,False
37406,458,TAE06021i,ESG Growth GBP,False,,False
37407,458,TAE06022i,ESG Balanced GBP,False,,False
37408,458,TAE06023i,ESG Balanced GBP,False,,False
37409,458,TAE06024i,ESG Balanced GBP,False,,False
37410,458,TAE06025i,ESG Balanced GBP,False,,False
37411,458,TAE06027,ESG Balanced GBP,False,,False
37412,458,TAE06028i,ESG Cautious GBP,False,,False
37413,458,TAE06029i,ESG Cautious GBP,False,,False
37414,458,TAE06030,ESG Adventurous GBP,False,,False
37415,458,TAE06034,ESG Balanced GBP,False,,False
37416,458,TAE06036i,ESG Balanced GBP,False,,False
37417,458,TAE06038i,ESG Growth GBP,False,,False
37418,458,TAE06039i,ESG Growth GBP,False,,False
37419,458,TAE06040,ESG Balanced GBP,False,,False
37420,458,TAE06046,ESG Balanced GBP,False,,False
37421,458,TAE06047,ESG Adventurous GBP,False,,False
37422,458,TAE06052i,ESG Balanced GBP,False,,False
37423,458,TAE06053i,ESG Balanced GBP,False,,False
37424,458,TAE06054i,ESG Growth GBP,False,,False
37425,458,TAE06055i,ESG Balanced GBP,False,,False
37426,458,TAE06056i,ESG Balanced GBP,False,,False
37427,458,TAE06057i,ESG Balanced GBP,False,,False
37428,458,TAE06058i,ESG Growth GBP,True,assetClass_Equity,False
37429,458,TAE06062i,ESG Growth GBP,False,,False
37430,458,TAE06063i,ESG Growth GBP,False,,False
37431,458,TAE06064i,ESG Cautious GBP,False,,False
37432,458,TAE06065i,ESG Growth GBP,True,assetClass_Equity,False
37433,458,TAE06067,ESG Growth GBP,True,assetClass_Equity,False
37434,458,TAE06068,ESG Balanced GBP,False,,False
37435,458,TAE06072,ESG Growth GBP,False,,False
37436,458,TAE06076i,ESG Cautious GBP,True,", tracking error drift",False
37437,458,TAE06080,ESG Growth GBP,True,assetClass_Equity,False
37438,458,TAE06081,ESG Balanced GBP,False,,False
37439,458,TAE06082,ESG Cautious GBP,False,,False
37440,458,TAE06083,ESG Cautious GBP,True,", tracking error drift",False
37441,458,TAE06084,ESG Balanced GBP,False,,False
37442,458,TAE06085,ESG Balanced GBP,False,,False
37443,458,TAE06089i,Balanced / FF 4 GBP,False,,False
37444,458,TAE06090i,ESG Defensive GBP,False,,False
37445,458,TAE06091i,ESG Growth GBP,True,assetClass_Equity,False
37446,458,TAE06093i,ESG Cautious GBP,False,,False
37447,458,TAE06098i,ESG Balanced GBP,False,,False
37448,458,TAE06100,ESG Balanced GBP,False,,False
37449,458,TAE06101,ESG Cautious GBP,True,", tracking error drift",False
37450,458,TAE06102i,ESG Cautious GBP,False,,False
37451,458,TAE06104,ESG Balanced GBP,False,,False
37452,458,TAE06105,ESG Cautious GBP,False,,False
37453,458,TAE06106,ESG Balanced GBP,True,", tracking error drift",False
37454,458,TAE06107,ESG Balanced GBP,False,,False
37455,458,TAE06108,ESG Cautious GBP,False,,False
37456,458,TAE06109,ESG Balanced GBP,False,,False
37457,458,TAE06110,ESG Growth GBP,False,,False
37458,458,TAE06111i,ESG Balanced GBP,False,,False
37459,458,TAE06112i,ESG Cautious GBP,False,,False
37460,458,TAE06113,ESG Balanced GBP,False,,False
37461,458,TAE06114i,ESG Growth GBP,True,assetClass_Equity,False
37462,458,TAE06115i,ESG Balanced GBP,False,,False
37463,458,TAE06116,ESG Balanced GBP,False,,False
37464,458,TAE06117,ESG Growth GBP,True,assetClass_Equity,False
37465,458,TAE06118i,ESG Balanced GBP,True,assetClass_Equity,False
37466,458,TAE06119,ESG Balanced GBP,False,,False
37467,458,TAE06123i,ESG Balanced GBP,False,,False
37468,458,TAE06124i,ESG Balanced GBP,False,,False
37469,458,TAE06125,ESG Balanced GBP,False,,False
37470,458,TAE06127,Cautious EUR,False,,False
37471,458,TAE06128,ESG Balanced GBP,False,,False
37472,458,TAE06129i,ESG Balanced GBP,False,,False
37473,458,TAE06130,ESG Growth GBP,False,,False
37474,458,TAE06131,ESG Growth GBP,False,,False
37475,458,TAE06132i,ESG Growth GBP,False,,False
37476,458,TAE06133,ESG Balanced GBP,False,,False
37477,458,TAE06134,ESG Growth GBP,True,assetClass_Equity,False
37478,458,TAE06135i,ESG Growth GBP,True,assetClass_Equity,False
37479,458,TAE06136,ESG Growth GBP,True,assetClass_Equity,False
37480,458,TAE06137,ESG Growth GBP,True,assetClass_Equity,False
37481,458,TAE06138i,ESG Growth GBP,True,assetClass_Equity,False
37482,458,TAE06139i,ESG Growth GBP,True,assetClass_Equity,False
37483,458,TAE06140,ESG Growth GBP,True,assetClass_Equity,False
37484,458,TAE06141,ESG Balanced GBP,False,,False
37485,458,TAE06142i,ESG Balanced GBP,False,,False
37486,458,TAE06143,ESG Balanced GBP,False,,False
37487,458,TAE06144i,ESG Balanced GBP,False,,False
37488,458,TAE06145,ESG Balanced GBP,True,", tracking error drift",False
37489,458,TAE06146i,ESG Balanced GBP,False,,False
37490,458,TAH02001,Focus Cautious / FF Lite 3 GBP,True,", non strategy volatility drift, non strategy assets drift",False
37491,458,TAH02003,Focus Growth / FF Lite 5 GBP,True,", non strategy volatility drift, non strategy assets drift",False
37492,458,TAH02005,Focus Cautious / FF Lite 3 GBP,True,", non strategy volatility drift, non strategy assets drift",False
37493,458,TAH02006,Focus Growth / FF Lite 5 GBP,True,", non strategy volatility drift, non strategy assets drift",False
37494,458,TAH02007,Focus Cautious / FF Lite 3 GBP,True,", non strategy volatility drift, non strategy assets drift",False
37495,458,TAHA001M,Focus Cautious / FF Lite 3 GBP,True,", non strategy volatility drift, non strategy assets drift",False
37496,458,TAHA003M,Focus Growth / FF Lite 5 GBP,True,", non strategy volatility drift, non strategy assets drift",False
37497,458,TAI09610,Balanced / FF 4 GBP,True,"assetClass_Equity, risk drift, tracking error drift, non strategy volatility drift, non strategy assets drift",False
37498,458,TAI09624,Focus Cautious USD,True,", tracking error drift",False
37499,458,TAI09636,Cautious / FF 3 GBP,True,", risk drift, tracking error drift, non strategy volatility drift, non strategy assets drift",False
37500,458,TAI09808,Premier Cautious USD,True,", non strategy volatility drift, non strategy assets drift",False
37501,458,TAI09915,Balanced EUR,False,,False
37502,458,TAI09919,Cautious EUR,False,,False
37503,458,TAI09930,Growth / FF 5 GBP,False,,False
37504,458,TAI09936,Balanced / FF 4 GBP,False,,False
37505,458,TAI09958,Growth / FF 5 GBP,False,,False
37506,458,TAI09976,Balanced / FF 4 GBP,False,,False
37507,458,TAICM3001,Balanced EUR,False,,False
37508,458,TAICM3003,Balanced EUR,False,,False
37509,458,TAICM3004,Balanced EUR,False,,False
37510,458,TAIFL7003,Focus Cautious / FF Lite 3 GBP,True,", tracking error drift, non strategy volatility drift, non strategy assets drift",False
37511,458,TAIFL7018,Cautious EUR,False,,False
37512,458,TAIFL7024,Focus Adventurous USD,True,", tracking error drift",False
37513,458,TAIFL7042,Focus Cautious / FF Lite 3 GBP,True,", tracking error drift, non strategy volatility drift, non strategy assets drift",False
37514,458,TAIFL7045,Focus Adventurous USD,True,"assetClass_Equity, risk drift, tracking error drift",False
37515,458,TAIFL7051,Passive Balanced GBP,False,,False
37516,458,TAIFL7057,Focus Balanced / FF Lite 4 GBP,True,"assetClass_Equity, risk drift, tracking error drift, non strategy volatility drift, non strategy assets drift",False
37517,458,TAIFL7060,Focus Balanced / FF Lite 4 GBP,True,", tracking error drift, non strategy volatility drift, non strategy assets drift",False
37518,458,TAIFL7069,Focus Balanced / FF Lite 4 GBP,True,", tracking error drift, non strategy volatility drift, non strategy assets drift",False
37519,458,TAIFL7075,TAM Focus Growth GBP,False,,False
37520,458,TAIFL7084,Focus Growth / FF Lite 5 GBP,True,"assetClass_Equity, tracking error drift, non strategy volatility drift, non strategy assets drift",False
37521,458,TAIFS2001,Balanced / FF 4 GBP,False,,False
37522,458,TAIFS2025,Adventurous / FF 6 GBP,False,,False
37523,458,TAIFS2028,Cautious EUR,False,,False
37524,458,TAIFS2041,Adventurous EUR,False,,False
37525,458,TAIFS2043,Focus Balanced USD,False,,False
37526,458,TAIFS2047,Balanced / FF 4 GBP,False,,False
37527,458,TAIFS2069,Cautious / FF 3 GBP,False,,False
37528,458,TAIFS2072,Balanced / FF 4 GBP,False,,False
37529,458,TAIFS2081,Adventurous / FF 6 GBP,False,,False
37530,458,TAIFS2087,Growth / FF 5 GBP,False,,False
37531,458,TAIFS2090,Focus Balanced USD,False,,False
37532,458,TAIFS2099,Balanced / FF 4 GBP,False,,False
37533,458,TAIFS2105,Balanced EUR,False,,False
37534,458,TAIFS2111,Focus Balanced USD,False,,False
37535,458,TAIFS2114,Focus Adventurous USD,False,,False
37536,458,TAIFS2126,Balanced / FF 4 GBP,False,,False
37537,458,TAIFS2129,Balanced EUR,False,,False
37538,458,TAIFS2132,Focus Growth USD,False,,False
37539,458,TAIFS2141,Focus Growth USD,True,"assetClass_Equity, risk drift, tracking error drift",False
37540,458,TAIFS2144,Growth / FF 5 GBP,False,,False
37541,458,TAIFS2147,Balanced / FF 4 GBP,False,,False
37542,458,TAIFS2156,Focus Balanced USD,False,,False
37543,458,TAIFS2168,Adventurous / FF 6 GBP,False,,False
37544,458,TAIFS2171,Cautious / FF 3 GBP,False,,False
37545,458,TAIFS2180,Balanced / FF 4 GBP,False,,False
37546,458,TAIFS2183,Premier Cautious USD,False,,False
37547,458,TAIFS2187,Growth / FF 5 GBP,False,,False
37548,458,TAIFS2196,Focus Balanced USD,False,,False
37549,458,TAIFS2199,Balanced EUR,False,,False
37550,458,TAIFS2202,Balanced EUR,False,,False
37551,458,TAIFS2205,Focus Balanced USD,False,,False
37552,458,TAIFS2208,Balanced / FF 4 GBP,False,,False
37553,458,TAIFS2211,Focus Growth USD,False,,False
37554,458,TAIFS2223,Balanced / FF 4 GBP,False,,False
37555,458,TAIFS2229,Focus Balanced USD,False,,False
37556,458,TAIFS2232,Focus Balanced USD,False,,False
37557,458,TAIFS2235,Balanced / FF 4 GBP,False,,False
37558,458,TAIFS2241,Balanced / FF 4 GBP,False,,False
37559,458,TAIFS2244,Growth / FF 5 GBP,False,,False
37560,458,TAIFS2257,Focus Growth CHF,True,"assetClass_Equity, tracking error drift",False
37561,458,TAIFS2260,Balanced EUR,False,,False
37562,458,TAIFS2269,Cautious / FF 3 GBP,False,,False
37563,458,TAIFS2278,Growth / FF 5 GBP,False,,False
37564,458,TAIFS2293,Balanced EUR,False,,False
37565,458,TAIFS2299,Focus Growth USD,False,,False
37566,458,TAIFS2302,Cautious EUR,False,,False
37567,458,TAIFS2308,Balanced / FF 4 GBP,False,,False
37568,458,TAIFS2321,Growth / FF 5 GBP,False,,False
37569,458,TAIFS2324,Focus Balanced / FF Lite 4 GBP,False,,False
37570,458,TAIFS2351,Balanced EUR,False,,False
37571,458,TAIFS2354,Focus Adventurous USD,False,,False
37572,458,TAIFS2357,Cautious / FF 3 GBP,False,,False
37573,458,TAIFS2369,Focus Balanced USD,False,,False
37574,458,TAIFS2370,Focus Adventurous USD,False,,False
37575,458,TAIFS2378,Balanced EUR,False,,False
37576,458,TAIFS2381,Focus Cautious USD,False,,False
37577,458,TAIFS2384,Adventurous EUR,False,,False
37578,458,TAIFS2390,Focus Balanced USD,True,"assetClass_Equity, tracking error drift",False
37579,458,TAIFS2393,Focus Balanced / FF Lite 4 GBP,False,,False
37580,458,TAIFS2402,Balanced / FF 4 GBP,False,,False
37581,458,TAIFS2405,Focus Balanced / FF Lite 4 GBP,False,,False
37582,458,TAIFS2408,Focus Growth USD,False,,False
37583,458,TAIFS2411,Focus Growth USD,False,,False
37584,458,TAIFS2420,Focus Balanced USD,False,,False
37585,458,TAIPL6044,Growth / FF 5 GBP,True,", non strategy volatility drift, non strategy assets drift",False
37586,458,TAIPL6101,Premier Cautious USD,True,", risk drift, tracking error drift",False
37587,458,TAIPL6104,Premier Balanced USD,True,"assetClass_Equity, risk drift, tracking error drift, non strategy volatility drift, non strategy assets drift",False
37588,458,TAIPL6113,Balanced / FF 4 GBP,True,"assetClass_Equity, risk drift, tracking error drift, non strategy volatility drift, non strategy assets drift",False
37589,458,TAIPL6119,TAM Premier Balanced USD,True,assetClass_Equity,False
37590,458,TAIPR1003,Growth / FF 5 GBP,False,,False
37591,458,TAIPR1018,Growth / FF 5 GBP,False,,False
37592,458,TAIPR1041,Growth / FF 5 GBP,False,,False
37593,458,TAIPR1047,Cautious / FF 3 GBP,False,,False
37594,458,TAIPR1053,Premier Balanced USD,True,assetClass_Equity,False
37595,458,TAIPR1068,Cautious / FF 3 GBP,False,,False
37596,458,TAIPR1074,Balanced / FF 4 GBP,False,,False
37597,458,TAIPR1086,Premier Growth USD,True,", tracking error drift",False
37598,458,TAIPR1087,Premier Cautious USD,True,", risk drift, tracking error drift",False
37599,458,TAIPR1089,Balanced / FF 4 GBP,False,,False
37600,458,TAIPR1107,Balanced / FF 4 GBP,False,,False
37601,458,TAIPR1110,Cautious / FF 3 GBP,True,", tracking error drift",False
37602,458,TAIPR1116,Balanced / FF 4 GBP,False,,False
37603,458,TAIPR1122,Premier Balanced USD,True,", tracking error drift",False
37604,458,TAIPR1125,Premier Balanced USD,True,"assetClass_Equity, risk drift, tracking error drift",False
37605,458,TAIPR1131,Balanced / FF 4 GBP,False,,False
37606,458,TAIPR1153,Growth / FF 5 GBP,False,,False
37607,458,TAIPR1163,Cautious / FF 3 GBP,False,,False
37608,458,TAIPR1170,Cautious EUR,False,,False
37609,458,TAIPR1173,Premier Growth USD,False,,False
37610,458,TAIPR1176,Premier Balanced USD,False,,False
37611,458,TAIPR1182,Balanced / FF 4 GBP,False,,False
37612,458,TAIPR1185,Premier Cautious USD,False,,False
37613,458,TAIPR1197,Balanced / FF 4 GBP,False,,False
37614,458,TAIPR1206,Premier Growth USD,False,,False
37615,458,TAIPR1209,Balanced / FF 4 GBP,False,,False
37616,458,TAIPR1218,Growth / FF 5 GBP,False,,False
37617,458,TAIPR1221,Growth / FF 5 GBP,False,,False
37618,458,TAIPR1224,Premier Growth USD,False,,False
37619,458,TAIPR1227,Balanced EUR,False,,False
37620,458,TAIPR1230,Balanced / FF 4 GBP,True,"assetClass_Equity, risk drift, tracking error drift, non strategy volatility drift, non strategy assets drift",False
37621,458,TAIPR1236,Balanced / FF 4 GBP,True,", non strategy volatility drift, non strategy assets drift",False
37622,458,TAIPR1242,Premier Speculative USD,False,,False
37623,458,TAIPR1245,Balanced / FF 4 GBP,False,,False
37624,458,TAIPR1248,Balanced / FF 4 GBP,True,"assetClass_Equity, risk drift, tracking error drift, non strategy volatility drift, non strategy assets drift",False
37625,458,TAIPR1251,Balanced EUR,False,,False
37626,458,TAIPR1257,Growth / FF 5 GBP,False,,False
37627,458,TAIPR1260,TAM Premier Balanced GBP,False,,False
37628,458,TAIPR1263,Balanced / FF 4 GBP,False,,False
37629,458,TAIPR1266,Balanced / FF 4 GBP,False,,False
37630,458,TAIPR1269,Balanced / FF 4 GBP,False,,False
37631,458,TAIPR1272,Premier Balanced USD,False,,False
37632,458,TAIPR1284,Balanced / FF 4 GBP,False,,False
37633,458,TAIPR1287,Balanced / FF 4 GBP,True,"assetClass_Equity, risk drift, tracking error drift, non strategy volatility drift, non strategy assets drift",False
37634,458,TAIRS4004,Focus Adventurous USD,True,"assetClass_Equity, risk drift, tracking error drift",False
37635,458,TAIRS4013,Balanced EUR,False,,False
37636,458,TAIRS4025,Balanced EUR,True,"assetClass_Equity, risk drift, tracking error drift",False
37637,458,TAISH0020,Sharia Balanced GBP,False,,False
37638,458,TAISH0024,Sharia Growth USD,False,,False
37639,458,TAIV1001,Growth USD,False,,False
37640,458,TAIV1003,Balanced Growth USD,False,,False
37641,458,TAIV1006,Conservative Balanced USD,False,,False
37642,458,TAIV1009,Balanced Growth GBP,False,,False
37643,458,TAIV1015,Conservative Balanced GBP,False,,False
37644,458,TAIV1018,Growth USD,False,,False
37645,458,TAIV1021,Balanced Growth USD,False,,False
37646,458,TAIV1024,Growth USD,False,,False
37647,458,TAIV1033A,Balanced Growth USD,False,,False
37648,458,TAIV1033B,Growth GBP,False,,False
37649,458,TAIV1036,Balanced Growth EUR,False,,False
37650,458,TAIV1039,Balanced Growth GBP,False,,False
37651,458,TAIV1045,Balanced Growth USD,False,,False
37652,458,TAIV1048,Conservative Balanced GBP,False,,False
37653,458,TAIV1051,Balanced Growth USD,False,,False
37654,458,TAIV1054,Conservative Balanced USD,False,,False
37655,458,TAIV1057,Balanced Growth USD,False,,False
37656,458,TAIV1060,Conservative Balanced USD,False,,False
37657,458,TAIV1063,Balanced Growth EUR,False,,False
37658,458,TAIV1066,Conservative Balanced GBP,False,,False
37659,458,TAIV1069,Conservative Balanced USD,True,"assetClass_Equity, risk drift, tracking error drift",False
37660,458,TAIV1069A,Conservative Balanced GBP,False,,False
37661,458,TAIV1072,Growth USD,False,,False
37662,458,TAIV1075,Growth USD,False,,False
37663,458,TAIV1075A,Growth GBP,True,assetClass_Equity,False
37664,458,TAIV1078,Balanced Growth USD,False,,False
37665,458,TAIV1090,Conservative Balanced USD,False,,False
37666,458,TAIV1093,Balanced Growth GBP,False,,False
37667,458,TAIV1093A,Balanced Growth EUR,False,,False
37668,458,TAIV1099,Balanced Growth USD,False,,False
37669,458,TAIV1102,Balanced Growth USD,True,assetClass_Equity,False
37670,458,TAIV1105,Balanced Growth GBP,False,,False
37671,458,TAIV1108,Conservative Balanced GBP,False,,False
37672,458,TAIV1111,Balanced Growth USD,False,,False
37673,458,TAIV1117,Balanced Growth GBP,False,,False
37674,458,TAIV1120,Balanced Growth GBP,False,,False
37675,458,TAIV1123,Growth USD,False,,False
37676,458,TAIV1126,Balanced Growth USD,False,,False
37677,458,TAIV1129,Growth USD,False,,False
37678,458,TAIV1132,Balanced Growth GBP,False,,False
37679,458,TAIV1135,Growth USD,False,,False
37680,458,TAIV1138,Conservative Balanced USD,False,,False
37681,458,TAIV1138A,Conservative Balanced GBP,False,,False
37682,458,TAIV1141,Growth GBP,True,", tracking error drift",False
37683,458,TAIV1144,Growth GBP,True,", tracking error drift",False
37684,458,TAIV1147,Conservative Balanced GBP,True,", tracking error drift",False
37685,458,TAIV1150,Conservative Balanced GBP,True,", tracking error drift",False
37686,458,TAIV1153,Growth GBP,False,,False
37687,458,TAIV1159,Conservative Balanced GBP,False,,False
37688,458,TAIV1162,Balanced Growth GBP,False,,False
37689,458,TAIV1165,Conservative Balanced GBP,False,,False
37690,458,TAIV1168,Balanced Growth GBP,False,,False
37691,458,TAIV1171,Balanced Growth USD,False,,False
37692,458,TAIV1174,Growth USD,False,,False
37693,458,TAIV1177,Balanced Growth USD,False,,False
37694,458,TAIV1180,Growth USD,False,,False
37695,458,TAIV1183,Conservative Balanced USD,False,,False
37696,458,TAIV1189,Conservative Balanced GBP,False,,False
37697,458,TAIV1192,Balanced Growth USD,False,,False
37698,458,TAIV1195,Balanced Growth GBP,False,,False
37699,458,TAIV1201,Balanced Growth USD,False,,False
37700,458,TAIV1207,Balanced Growth GBP,False,,False
37701,458,TAIV1210,Balanced Growth USD,False,,False
37702,458,TAIV1213,Balanced Growth USD,False,,False
37703,458,TAIV1219,Balanced Growth GBP,False,,False
37704,458,TAIV1228,Balanced Growth USD,False,,False
37705,458,TAIV1231,Balanced Growth USD,False,,False
37706,458,TAIV1231A,Balanced Growth GBP,False,,False
37707,458,TAIV1234,Balanced Growth GBP,False,,False
37708,458,TAIV1237,Balanced Growth GBP,True,assetClass_Equity,False
37709,458,TAIV1237A,Balanced Growth USD,False,,False
37710,458,TAIV1240,Balanced Growth GBP,False,,False
37711,458,TAIV1243,Balanced Growth GBP,False,,False
37712,458,TAIV1243A,Balanced Growth USD,False,,False
37713,458,TAIV1246,Balanced Growth GBP,True,", tracking error drift",False
37714,458,TAIV1249,Balanced Growth USD,False,,False
37715,458,TAIV1252,Balanced Growth GBP,False,,False
37716,458,TAIV1255,Balanced Growth USD,False,,False
37717,458,TAIV1258,Growth USD,True,assetClass_Equity,False
37718,458,TAIV1261,Growth USD,False,,False
37719,458,TAIV1264,Balanced Growth USD,False,,False
37720,458,TAIV1267,Balanced Growth EUR,False,,False
37721,458,TAIV1270,Growth GBP,False,,False
37722,458,TAIV1273,Conservative Balanced USD,False,,False
37723,458,TAIV1276,Balanced Growth GBP,False,,False
37724,458,TAIV1279,Conservative Balanced USD,False,,False
37725,458,TAIV1279A,Conservative Balanced GBP,False,,False
37726,458,TAIV1282,Balanced Growth GBP,False,,False
37727,458,TAIV1285,Balanced Growth USD,False,,False
37728,458,TAIV1285A,Balanced Growth GBP,False,,False
37729,458,TAIV1288,Balanced Growth GBP,False,,False
37730,458,TAIV1291,Conservative Balanced USD,False,,False
37731,458,TAIV1294,Balanced Growth USD,False,,False
37732,458,TAIV1300,Balanced Growth GBP,False,,False
37733,458,TAIV1303,Balanced Growth GBP,False,,False
37734,458,TAIV1312,Conservative Balanced GBP,False,,False
37735,458,TAIV1315,Conservative Balanced USD,False,,False
37736,458,TAIV1318,Balanced Growth GBP,False,,False
37737,458,TAIV1321,Balanced Growth GBP,False,,False
37738,458,TAIV1327,Balanced Growth USD,False,,False
37739,458,TAIV1327A,Balanced Growth GBP,False,,False
37740,458,TAIV1330,Balanced Growth GBP,False,,False
37741,458,TAIV1333,Balanced Growth GBP,False,,False
37742,458,TAIV1336,Balanced Growth EUR,False,,False
37743,458,TAIV1339,Balanced Growth USD,False,,False
37744,458,TAIV1342,Balanced Growth GBP,False,,False
37745,458,TAIV1345,Balanced Growth GBP,False,,False
37746,458,TAIV1348,Balanced Growth USD,False,,False
37747,458,TAIV1348A,Balanced Growth EUR,False,,False
37748,458,TAIV1351,Conservative Balanced GBP,False,,False
37749,458,TAIV1354,Conservative Balanced GBP,False,,False
37750,458,TAIV1357,Conservative Balanced GBP,False,,False
37751,458,TAIV1360,Balanced Growth GBP,False,,False
37752,458,TAIV1363,Conservative Balanced USD,False,,False
37753,458,TAIV1366,Conservative Balanced USD,False,,False
37754,458,TAIV1369,Balanced Growth USD,False,,False
37755,458,TAIV1372,Balanced Growth USD,False,,False
37756,458,TAIV1375,Balanced Growth GBP,False,,False
37757,458,TAIV1378,Growth USD,False,,False
37758,458,TAIV1381,Balanced Growth GBP,False,,False
37759,458,TAIV1384,Balanced Growth USD,False,,False
37760,458,TAIV1387,Balanced Growth USD,False,,False
37761,458,TAIV1390,Balanced Growth GBP,False,,False
37762,458,TAIV1393,Balanced Growth USD,False,,False
37763,458,TAIV1396,Balanced Growth GBP,False,,False
37764,458,TAIV1399,Growth USD,False,,False
37765,458,TAIV1402,Balanced Growth USD,False,,False
37766,458,TAIV1402A,Balanced Growth GBP,False,,False
37767,458,TAIV1405,Growth USD,False,,False
37768,458,TAIV1408,Balanced Growth USD,False,,False
37769,458,TAIV1417,Growth USD,False,,False
37770,458,TAIV1420,Conservative Balanced GBP,False,,False
37771,458,TAIV1420A,Conservative Balanced USD,False,,False
37772,458,TAIV1423,Balanced Growth USD,False,,False
37773,458,TAIV1426,Balanced Growth GBP,False,,False
37774,458,TAIV1429,Conservative Balanced GBP,False,,False
37775,458,TAIV1432,Balanced Growth USD,False,,False
37776,458,TAIV1438,Conservative Balanced USD,False,,False
37777,458,TAIV1441,Balanced Growth GBP,False,,False
37778,458,TAIV1447,Balanced Growth GBP,False,,False
37779,458,TAIV1453,Balanced Growth GBP,False,,False
37780,458,TAIV1456,Conservative Balanced GBP,False,,False
37781,458,TAIV1462,Growth USD,False,,False
37782,458,TAIV1465,Balanced Growth GBP,False,,False
37783,458,TAIV1468,Balanced Growth GBP,False,,False
37784,458,TAIV1471,Balanced Growth GBP,False,,False
37785,458,TAIV1474,Growth USD,False,,False
37786,458,TAIV1477,Growth USD,False,,False
37787,458,TAIV1480,Balanced Growth GBP,False,,False
37788,458,TAIV1483,Balanced Growth USD,False,,False
37789,458,TAIV1486,Conservative Balanced GBP,False,,False
37790,458,TAIV1489,Balanced Growth USD,False,,False
37791,458,TAIV1492,Balanced Growth USD,False,,False
37792,458,TAIV1495,Growth GBP,False,,False
37793,458,TAIV1498,Balanced Growth GBP,False,,False
37794,458,TAIV1498A,Growth GBP,True,"assetClass_Equity, risk drift, tracking error drift",False
37795,458,TAIV1501,Conservative Balanced GBP,False,,False
37796,458,TAIV1504,Growth GBP,False,,False
37797,458,TAIV1507,Balanced Growth GBP,False,,False
37798,458,TAIV1510,Conservative Balanced USD,False,,False
37799,458,TAIV1513,Conservative Balanced GBP,False,,False
37800,458,TAIV1519,Conservative Balanced USD,False,,False
37801,458,TAIV1525,Balanced Growth GBP,False,,False
37802,458,TAIV1528,Balanced Growth GBP,False,,False
37803,458,TAIV1531,Balanced Growth GBP,False,,False
37804,458,TAIV1537,Balanced Growth GBP,False,,False
37805,458,TAIV1546,Conservative Balanced GBP,False,,False
37806,458,TAIV1546A,Conservative Balanced USD,False,,False
37807,458,TAIV1549,Balanced Growth USD,False,,False
37808,458,TAIV1561,Balanced Growth GBP,False,,False
37809,458,TAIV1561A,Balanced Growth USD,False,,False
37810,458,TAIV1567,Conservative Balanced EUR,True,"assetClass_Equity, tracking error drift",False
37811,458,TAIV1567B,Conservative Balanced GBP,False,,False
37812,458,TAIV1570,Conservative Balanced GBP,False,,False
37813,458,TAIV1573,Conservative Balanced GBP,False,,False
37814,458,TAIV1576,Growth USD,False,,False
37815,458,TAIV1579,Balanced Growth GBP,False,,False
37816,458,TAIV1585,Conservative Balanced USD,False,,False
37817,458,TAIV1591,Growth USD,False,,False
37818,458,TAIV1594,Balanced Growth GBP,False,,False
37819,458,TAIV1597,Balanced Growth GBP,False,,False
37820,458,TAIV1600,Growth GBP,False,,False
37821,458,TAIV1603,Conservative Balanced GBP,False,,False
37822,458,TAIV1606,Conservative Balanced USD,False,,False
37823,458,TAIV1609,Balanced Growth GBP,False,,False
37824,458,TAIV1615,Balanced Growth GBP,False,,False
37825,458,TAIV1618,Balanced Growth USD,False,,False
37826,458,TAIV1624,Growth GBP,False,,False
37827,458,TAIV1639,Growth GBP,False,,False
37828,458,TAIV1648A,Conservative Balanced GBP,False,,False
37829,458,TAIV1648C,Conservative Balanced USD,False,,False
37830,458,TAIV1651,Balanced Growth GBP,False,,False
37831,458,TAIV1657,Balanced Growth USD,False,,False
37832,458,TAIV1660,Growth USD,True,assetClass_Equity,False
37833,458,TAIV1660A,Growth GBP,False,,False
37834,458,TAIV1663,Balanced Growth USD,False,,False
37835,458,TAIV1666,Balanced Growth GBP,False,,False
37836,458,TAIV1672,Balanced Growth USD,False,,False
37837,458,TAIV1678,Conservative Balanced USD,False,,False
37838,458,TAIV1687,Balanced Growth USD,False,,False
37839,458,TAIV1696,Balanced Growth GBP,False,,False
37840,458,TAIV1705,Conservative Balanced GBP,True,"assetClass_Equity, risk drift, tracking error drift",False
37841,458,TAIV1708,Conservative Balanced GBP,False,,False
37842,458,TAIV1711,Growth GBP,False,,False
37843,458,TAIV1723,Conservative Balanced USD,False,,False
37844,458,TAIV1726,Balanced Growth GBP,True,assetClass_Equity,False
